Load_Multiplier,Tier,Arrival_TPS,Capacity_TPS,Utilization_Rho,Latency_MS,Status
1.0,RTGS_Core,2000.0,5000,0.4,83.6,STABLE
1.0,EthSwitch_Edge,480.0,1200,0.4,21.111,STABLE
1.0,PAPSS_Gateway,320.0,800,0.4,15.0,STABLE
1.5,RTGS_Core,3000.0,5000,0.6,187.85,STABLE
1.5,EthSwitch_Edge,720.0,1200,0.6,46.458,STABLE
1.5,PAPSS_Gateway,480.0,800,0.6,32.188,STABLE
2.0,RTGS_Core,4000.0,5000,0.8,500.6,STABLE
2.0,EthSwitch_Edge,960.0,1200,0.8,122.5,STABLE
2.0,PAPSS_Gateway,640.0,800,0.8,83.75,STABLE
2.5,RTGS_Core,5000.0,5000,1.0,999999.0,HALTED
2.5,EthSwitch_Edge,1200.0,1200,1.0,999999.0,HALTED
2.5,PAPSS_Gateway,800.0,800,1.0,999999.0,HALTED
3.0,RTGS_Core,6000.0,5000,1.0,999999.0,HALTED
3.0,EthSwitch_Edge,1440.0,1200,1.0,999999.0,HALTED
3.0,PAPSS_Gateway,960.0,800,1.0,999999.0,HALTED
3.5,RTGS_Core,7000.0,5000,1.0,999999.0,HALTED
3.5,EthSwitch_Edge,1680.0,1200,1.0,999999.0,HALTED
3.5,PAPSS_Gateway,1120.0,800,1.0,999999.0,HALTED
4.0,RTGS_Core,8000.0,5000,1.0,999999.0,HALTED
4.0,EthSwitch_Edge,1920.0,1200,1.0,999999.0,HALTED
4.0,PAPSS_Gateway,1280.0,800,1.0,999999.0,HALTED
4.5,RTGS_Core,9000.0,5000,1.0,999999.0,HALTED
4.5,EthSwitch_Edge,2160.0,1200,1.0,999999.0,HALTED
4.5,PAPSS_Gateway,1440.0,800,1.0,999999.0,HALTED
5.0,RTGS_Core,10000.0,5000,1.0,999999.0,HALTED
5.0,EthSwitch_Edge,2400.0,1200,1.0,999999.0,HALTED
5.0,PAPSS_Gateway,1600.0,800,1.0,999999.0,HALTED
