Load_Multiplier,Tier,Arrival_TPS,Capacity_TPS,Utilization_Rho,Latency_MS,Status,Circuit_Breaker_State,Mitigated_Latency_MS
1.0,RTGS_Core,2000.0,5000,0.4,83.6,STABLE,ISOLATED_DRIP_MODE,43.472
1.0,EthSwitch_Edge,480.0,1200,0.4,21.111,STABLE,NORMAL_ROUTING,21.111
1.0,PAPSS_Gateway,320.0,800,0.4,15.0,STABLE,NORMAL_ROUTING,15.0
1.5,RTGS_Core,3000.0,5000,0.6,187.85,STABLE,ISOLATED_DRIP_MODE,97.682
1.5,EthSwitch_Edge,720.0,1200,0.6,46.458,STABLE,NORMAL_ROUTING,46.458
1.5,PAPSS_Gateway,480.0,800,0.6,32.188,STABLE,NORMAL_ROUTING,32.188
2.0,RTGS_Core,4000.0,5000,0.8,500.6,STABLE,ISOLATED_DRIP_MODE,260.312
2.0,EthSwitch_Edge,960.0,1200,0.8,122.5,STABLE,ISOLATED_DRIP_MODE,63.7
2.0,PAPSS_Gateway,640.0,800,0.8,83.75,STABLE,ISOLATED_DRIP_MODE,43.550000000000004
2.5,RTGS_Core,5000.0,5000,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
2.5,EthSwitch_Edge,1200.0,1200,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
2.5,PAPSS_Gateway,800.0,800,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
3.0,RTGS_Core,6000.0,5000,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
3.0,EthSwitch_Edge,1440.0,1200,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
3.0,PAPSS_Gateway,960.0,800,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
3.5,RTGS_Core,7000.0,5000,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
3.5,EthSwitch_Edge,1680.0,1200,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
3.5,PAPSS_Gateway,1120.0,800,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
4.0,RTGS_Core,8000.0,5000,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
4.0,EthSwitch_Edge,1920.0,1200,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
4.0,PAPSS_Gateway,1280.0,800,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
4.5,RTGS_Core,9000.0,5000,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
4.5,EthSwitch_Edge,2160.0,1200,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
4.5,PAPSS_Gateway,1440.0,800,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
5.0,RTGS_Core,10000.0,5000,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
5.0,EthSwitch_Edge,2400.0,1200,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
5.0,PAPSS_Gateway,1600.0,800,1.0,999999.0,HALTED,ISOLATED_DRIP_MODE,519999.48000000004
